Instruction,Opcode,Valid 64-bit,Valid 32-bit,Valid 16-bit,Feature Flags,Operand 1,Operand 2,Operand 3,Operand 4,Tuple Type,Description
"VANDPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.NDS.128.66.0F.W1 54 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed double-precision floating-point values in xmm2 and xmm3/m128/m64bcst subject to writemask k1."
"VANDPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F.W1 54 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed double-precision floating-point values in ymm2 and ymm3/m256/m64bcst subject to writemask k1."
"VANDPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.NDS.512.66.0F.W1 54 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed double-precision floating-point values in zmm2 and zmm3/m512/m64bcst subject to writemask k1."
"ANDPS xmm1, xmm2/m128","NP 0F 54 /r","Valid","Valid","Invalid","SSE","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Return the bitwise logical AND of packed single-precision floating-point values in xmm1 and xmm2/mem."
"VANDPS xmm1,xmm2, xmm3/m128","VEX.NDS.128.0F 54 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Return the bitwise logical AND of packed single-precision floating-point values in xmm2 and xmm3/mem."
"VANDPS ymm1, ymm2, ymm3/m256","VEX.NDS.256.0F 54 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Return the bitwise logical AND of packed single-precision floating-point values in ymm2 and ymm3/mem."
"VANDPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.NDS.128.0F.W0 54 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed single-precision floating-point values in xmm2 and xmm3/m128/m32bcst subject to writemask k1."
"VANDPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.0F.W0 54 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed single-precision floating-point values in ymm2 and ymm3/m256/m32bcst subject to writemask k1."
"VANDPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.NDS.512.0F.W0 54 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Return the bitwise logical AND of packed single-precision floating-point values in zmm2 and zmm3/m512/m32bcst subject to writemask k1."
"ARPL r/m16, r16","63 /r","Invalid","Invalid","Invalid","","ModRM:r/m (w)","ModRM:reg (r)","NA","NA","","Valid Adjust RPL of r/m16 to not less than RPL of r16."
"BEXTR r32a, r/m32, r32b","VEX.NDS.LZ.0F38.W0 F7 /r","Valid","Valid","Invalid","BMI1","ModRM:reg (w)","ModRM:r/m (r)","VEX.vvvv (r)","NA","","Contiguous bitwise extract from r/m32 using r32b as control; store result in r32a."
"BEXTR r64a, r/m64, r64b","VEX.NDS.LZ.0F38.W1 F7 /r","Valid","Invalid","Invalid","BMI1","ModRM:reg (w)","ModRM:r/m (r)","VEX.vvvv (r)","NA","","Contiguous bitwise extract from r/m64 using r64b as control; store result in r64a"
"BLENDPD xmm1, xmm2/m128, imm8","66 0F 3A 0D /r ib","Valid","Valid","Invalid","SSE4_1","ModRM:reg (r, w)","ModRM:r/m (r)","imm8","NA","","Select packed DP-FP values from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1."
"VBLENDPD xmm1, xmm2, xmm3/m128, imm8","VEX.NDS.128.66.0F3A.WIG 0D /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","imm8[3:0]","","Select packed double-precision floating-point Values from xmm2 and xmm3/m128 from mask in imm8 and store the values in xmm1."
"VBLENDPD ymm1, ymm2, ymm3/m256, imm8","VEX.NDS.256.66.0F3A.WIG 0D /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","imm8[3:0]","","Select packed double-precision floating-point Values from ymm2 and ymm3/m256 from mask in imm8 and store the values in ymm1."
"BLENDPS xmm1, xmm2/m128, imm8","66 0F 3A 0C /r ib","Valid","Valid","Invalid","SSE4_1","ModRM:reg (r, w)","ModRM:r/m (r)","imm8","NA","","Select packed single precision floating-point values from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1."
"VBLENDPS xmm1, xmm2, xmm3/m128, imm8","VEX.NDS.128.66.0F3A.WIG 0C /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","imm8","","Select packed single-precision floating-point values from xmm2 and xmm3/m128 from mask in imm8 and store the values in xmm1."
"VBLENDPS ymm1, ymm2, ymm3/m256, imm8","VEX.NDS.256.66.0F3A.WIG 0C /r ib","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","imm8","","Select packed single-precision floating-point values from ymm2 and ymm3/m256 from mask in imm8 and store the values in ymm1."
"BLENDVPD xmm1, xmm2/m128 , <XMM0>","66 0F 38 15 /r","Valid","Valid","Invalid","SSE4_1","ModRM:reg (r, w)","ModRM:r/m (r)","implicit XMM0","NA","","Select packed DP FP values from xmm1 and xmm2 from mask specified in XMM0 and store the values in xmm1."
"VBLENDVPD xmm1, xmm2, xmm3/m128, xmm4","VEX.NDS.128.66.0F3A.W0 4B /r /is4","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","imm8[7:4]","","Conditionally copy double-precision floating-point values from xmm2 or xmm3/m128 to xmm1, based on mask bits in the mask operand, xmm4."
"VBLENDVPD ymm1, ymm2, ymm3/m256, ymm4","VEX.NDS.256.66.0F3A.W0 4B /r /is4","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","imm8[7:4]","","Conditionally copy double-precision floating-point values from ymm2 or ymm3/m256 to ymm1, based on mask bits in the mask operand, ymm4."
"BLENDVPS xmm1, xmm2/m128, <XMM0>","66 0F 38 14 /r","Valid","Valid","Invalid","SSE4_1","ModRM:reg (r, w)","ModRM:r/m (r)","implicit XMM0","NA","","Select packed single precision floating-point values from xmm1 and xmm2/m128 from mask specified in XMM0 and store the values into xmm1."
"VBLENDVPS xmm1, xmm2, xmm3/m128, xmm4","VEX.NDS.128.66.0F3A.W0 4A /r /is4","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","imm8[7:4]","","Conditionally copy single-precision floating-point values from xmm2 or xmm3/m128 to xmm1, based on mask bits in the specified mask operand, xmm4."
"VBLENDVPS ymm1, ymm2, ymm3/m256, ymm4","VEX.NDS.256.66.0F3A.W0 4A /r /is4","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","imm8[7:4]","","Conditionally copy single-precision floating-point values from ymm2 or ymm3/m256 to ymm1, based on mask bits in the specified mask register, ymm4."
"BLSI r32, r/m32","VEX.NDD.LZ.0F38.W0 F3 /3","Valid","Valid","Invalid","BMI1","VEX.vvvv (w)","ModRM:r/m (r)","NA","NA","","Extract lowest set bit from r/m32 and set that bit in r32."
"BLSI r64, r/m64","VEX.NDD.LZ.0F38.W1 F3 /3","Valid","Invalid","Invalid","BMI1","VEX.vvvv (w)","ModRM:r/m (r)","NA","NA","","Extract lowest set bit from r/m64, and set that bit in r64."
"BLSMSK r32, r/m32","VEX.NDD.LZ.0F38.W0 F3 /2","Valid","Valid","Invalid","BMI1","VEX.vvvv (w)","ModRM:r/m (r)","NA","NA","","Set all lower bits in r32 to â€œ1â€ starting from bit 0 to lowest set bit in r/m32."
"BLSMSK r64, r/m64","VEX.NDD.LZ.0F38.W1 F3 /2","Valid","Invalid","Invalid","BMI1","VEX.vvvv (w)","ModRM:r/m (r)","NA","NA","","Set all lower bits in r64 to â€œ1â€ starting from bit 0 to lowest set bit in r/m64."
"BLSR r32, r/m32","VEX.NDD.LZ.0F38.W0 F3 /1","Valid","Valid","Invalid","BMI1","VEX.vvvv (w)","ModRM:r/m (r)","NA","NA","","Reset lowest set bit of r/m32, keep all other bits of r/m32 and write result to r32."
"BLSR r64, r/m64","VEX.NDD.LZ.0F38.W1 F3 /1","Valid","Invalid","Invalid","BMI1","VEX.vvvv (w)","ModRM:r/m (r)","NA","NA","","Reset lowest set bit of r/m64, keep all other bits of r/m64 and write result to r64."
"BNDCL bnd, r/m32","F3 0F 1A /r","Invalid","Valid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Generate a #BR if the address in r/m32 is lower than the lower bound in bnd.LB."
"BNDCL bnd, r/m64","F3 0F 1A /r","Valid","Invalid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Generate a #BR if the address in r/m64 is lower than the lower bound in bnd.LB."
"BNDCU bnd, r/m32","F2 0F 1A /r","Invalid","Valid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Generate a #BR if the address in r/m32 is higher than the upper bound in bnd.UB (bnb.UB in 1's complement form)."
"BNDCU bnd, r/m64","F2 0F 1A /r","Valid","Invalid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Generate a #BR if the address in r/m64 is higher than the upper bound in bnd.UB (bnb.UB in 1's complement form)."
"BNDCN bnd, r/m32","F2 0F 1B /r","Invalid","Valid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Generate a #BR if the address in r/m32 is higher than the upper bound in bnd.UB (bnb.UB not in 1's complement form)."
"BNDCN bnd, r/m64","F2 0F 1B /r","Valid","Invalid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Generate a #BR if the address in r/m64 is higher than the upper bound in bnd.UB (bnb.UB not in 1's complement form)."
"BNDLDX bnd, mib","NP 0F 1A /r","Valid","Valid","Invalid","MPX","ModRM:reg (w)","SIB.base (r): Address of pointer SIB.index (r)","NA","","","Load the bounds stored in a bound table entry (BTE) into bnd with address translation using the base of mib and conditional on the index of mib matching the pointer value in the BTE."
"BNDMK bnd, m32","F3 0F 1B /r","Invalid","Valid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Make lower and upper bounds from m32 and store them in bnd."
"BNDMK bnd, m64","F3 0F 1B /r","Valid","Invalid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Make lower and upper bounds from m64 and store them in bnd."
"BNDMOV bnd1, bnd2/m64","66 0F 1A /r","Invalid","Valid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Move lower and upper bound from bnd2/m64 to bound register bnd1."
"BNDMOV bnd1, bnd2/m128","66 0F 1A /r","Valid","Invalid","Invalid","MPX","ModRM:reg (w)","ModRM:r/m (r)","NA","","","Move lower and upper bound from bnd2/m128 to bound register bnd1."
"BNDMOV bnd1/m64, bnd2","66 0F 1B /r","Invalid","Valid","Invalid","MPX","ModRM:r/m (w)","ModRM:reg (r)","NA","","","Move lower and upper bound from bnd2 to bnd1/m64."
"BNDMOV bnd1/m128, bnd2","66 0F 1B /r","Valid","Invalid","Invalid","MPX","ModRM:r/m (w)","ModRM:reg (r)","NA","","","Move lower and upper bound from bnd2 to bound register bnd1/m128."
"BNDSTX mib, bnd","NP 0F 1B /r","Valid","Valid","Invalid","MPX","SIB.base (r): Address of pointer SIB.index (r)","ModRM:reg (r)","NA","","","Store the bounds in bnd and the pointer value in the index regis-ter of mib to a bound table entry (BTE) with address translation using the base of mib."
"BOUND r16, m16&16","62 /r","Invalid","Valid","Valid","","ModRM:reg (r)","ModRM:r/m (r)","NA","NA","","Check if r16 (array index) is within bounds specified by m16&16."
"BOUND r32, m32&32","62 /r","Invalid","Valid","Valid","","ModRM:reg (r)","ModRM:r/m (r)","NA","NA","","Check if r32 (array index) is within bounds specified by m32&32."
"BSF r16, r/m16","0F BC /r","Valid","Valid","Valid","","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Bit scan forward on r/m16."
"BSF r32, r/m32","0F BC /r","Valid","Valid","Valid","","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Bit scan forward on r/m32."
"BSF r64, r/m64","REX.W + 0F BC /r","Valid","Invalid","Invalid","","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Bit scan forward on r/m64."
"BSR r16, r/m16","0F BD /r","Valid","Valid","Valid","","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Bit scan reverse on r/m16."
"BSR r32, r/m32","0F BD /r","Valid","Valid","Valid","","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Bit scan reverse on r/m32."
"BSR r64, r/m64","REX.W + 0F BD /r","Valid","Invalid","Invalid","","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Bit scan reverse on r/m64."
"BSWAP r32","0F C8+rd","Valid","Valid","Valid","","opcode +rd (r, w)","NA","NA","NA","","Reverses the byte order of a 32-bit register."
"BSWAP r64","REX.W + 0F C8+rd","Valid","Invalid","Invalid","","opcode +rd (r, w)","NA","NA","NA","","Reverses the byte order of a 64-bit register."
"BT r/m16, r16","0F A3 /r","Valid","Valid","Valid","","ModRM:r/m (r)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag."
"BT r/m32, r32","0F A3 /r","Valid","Valid","Valid","","ModRM:r/m (r)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag."
"BT r/m64, r64","REX.W + 0F A3 /r","Valid","Invalid","Invalid","","ModRM:r/m (r)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag."
"BT r/m16, imm8","0F BA /4 ib","Valid","Valid","Valid","","ModRM:r/m (r)","imm8","NA","NA","","Store selected bit in CF flag."
"BT r/m32, imm8","0F BA /4 ib","Valid","Valid","Valid","","ModRM:r/m (r)","imm8","NA","NA","","Store selected bit in CF flag."
"BT r/m64, imm8","REX.W + 0F BA /4 ib","Valid","Invalid","Invalid","","ModRM:r/m (r)","imm8","NA","NA","","Store selected bit in CF flag."
"BTC r/m16, r16","0F BB /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and complement."
"BTC r/m32, r32","0F BB /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and complement."
"BTC r/m64, r64","REX.W + 0F BB /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and complement."
"BTC r/m16, imm8","0F BA /7 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and complement."
"BTC r/m32, imm8","0F BA /7 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and complement."
"BTC r/m64, imm8","REX.W + 0F BA /7 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and complement."
"BTR r/m16, r16","0F B3 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and clear."
"BTR r/m32, r32","0F B3 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and clear."
"BTR r/m64, r64","REX.W + 0F B3 /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and clear."
"BTR r/m16, imm8","0F BA /6 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and clear."
"BTR r/m32, imm8","0F BA /6 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and clear."
"BTR r/m64, imm8","REX.W + 0F BA /6 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and clear."
"BTS r/m16, r16","0F AB /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and set."
"BTS r/m32, r32","0F AB /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and set."
"BTS r/m64, r64","REX.W + 0F AB /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Store selected bit in CF flag and set."
"BTS r/m16, imm8","0F BA /5 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and set."
"BTS r/m32, imm8","0F BA /5 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and set."
"BTS r/m64, imm8","REX.W + 0F BA /5 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Store selected bit in CF flag and set."
"BZHI r32a, r/m32, r32b","VEX.NDS.LZ.0F38.W0 F5 /r","Valid","Valid","Invalid","BMI2","ModRM:reg (w)","ModRM:r/m (r)","VEX.vvvv (r)","NA","","Zero bits in r/m32 starting with the position in r32b, write result to r32a."
"BZHI r64a, r/m64, r64b","VEX.NDS.LZ.0F38.W1 F5 /r","Valid","Invalid","Invalid","BMI2","ModRM:reg (w)","ModRM:r/m (r)","VEX.vvvv (r)","NA","","Zero bits in r/m64 starting with the position in r64b, write result to r64a."
"CALL rel16","E8 cw","Invalid","Valid","Valid","","","","","","","Call near, relative, displacement relative to next instruction."
"CALL rel32","E8 cd","Valid","Valid","Invalid","","","","","","","Call near, relative, displacement relative to next instruction. 32-bit displacement sign extended to 64-bits in 64-bit mode."
"CALL r/m16","FF /2","Invalid","Valid","Valid","","","","","","","Call near, absolute indirect, address given in r/m16."
"CALL r/m32","FF /2","Invalid","Valid","Invalid","","","","","","","Call near, absolute indirect, address given in r/m32."
"CALL r/m64","FF /2","Valid","Invalid","Invalid","","","","","","","Call near, absolute indirect, address given in r/m64."
"CALL ptr16:16","9A cd","Invalid","Valid","Valid","","","","","","","Call far, absolute, address given in operand."
"CALL ptr16:32","9A cp","Invalid","Valid","Invalid","","","","","","","Call far, absolute, address given in operand."
"CALL m16:16","FF /3","Valid","Valid","Valid","","","","","","","Call far, absolute indirect address given in m16:16. In 32-bit mode: if selector points to a gate, then RIP = 32-bit zero extended displacement taken from gate; else RIP = zero extended 16-bit offset from far pointer referenced in the instruction."
"CALL m16:32","FF /3","Valid","Valid","Invalid","","","","","","","In 64-bit mode: If selector points to a gate, then RIP = 64-bit displacement taken from gate; else RIP = zero extended 32-bit offset from far pointer referenced in the instruction."
"CALL m16:64","REX.W + FF /3","Valid","Invalid","Invalid","","","","","","","In 64-bit mode: If selector points to a gate, then RIP = 64-bit displacement taken from gate; else RIP = 64-bit offset from far pointer referenced in the instruction."
"CBW","98","Valid","Valid","Valid","","NA","NA","NA","NA","","AX â† sign-extend of AL."
"CWDE","98","Valid","Valid","Valid","","NA","NA","NA","NA","","EAX â† sign-extend of AX."
"CDQE","REX.W + 98","Valid","Invalid","Invalid","","NA","NA","NA","NA","","RAX â† sign-extend of EAX."
"CLAC","NP 0F 01 CA","Valid","Valid","Invalid","SMAP","NA","NA","NA","NA","","Clear the AC flag in the EFLAGS register."
"CLC","F8","Valid","Valid","Valid","","NA","NA","NA","NA","","Clear CF flag."
"CLD","FC","Valid","Valid","Valid","","NA","NA","NA","NA","","Clear DF flag."
"CLFLUSH m8","NP 0F AE /7","Valid","Valid","Valid","","ModRM:r/m (w)","NA","NA","NA","","Flushes cache line containing m8."
"CLFLUSHOPT m8","66 0F AE /7","Valid","Valid","Valid","","ModRM:r/m (w)","NA","NA","NA","","Flushes cache line containing m8."
"CLI","FA","Valid","Valid","Valid","","NA","NA","NA","NA","","Clear interrupt flag; interrupts disabled when interrupt flag cleared."
"CLTS","0F 06","Valid","Valid","Valid","","NA","NA","NA","NA","","Clears TS flag in CR0."
"CLWB m8","66 0F AE /6","Valid","Valid","Invalid","CLWB","","","","","","Writes back modified cache line containing m8, and may retain the line in cache hierarchy in non-modified state."
"CMC","F5","Valid","Valid","Valid","","NA","NA","NA","NA","","Complement CF flag."
"CMOVA r16, r/m16","0F 47 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if above (CF=0 and ZF=0)."
"CMOVA r32, r/m32","0F 47 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if above (CF=0 and ZF=0)."
"CMOVA r64, r/m64","REX.W + 0F 47 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if above (CF=0 and ZF=0)."
"CMOVAE r16, r/m16","0F 43 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if above or equal (CF=0)."
"CMOVAE r32, r/m32","0F 43 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if above or equal (CF=0)."
"CMOVAE r64, r/m64","REX.W + 0F 43 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if above or equal (CF=0)."
"CMOVB r16, r/m16","0F 42 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if below (CF=1)."
"CMOVB r32, r/m32","0F 42 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if below (CF=1)."
"CMOVB r64, r/m64","REX.W + 0F 42 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if below (CF=1)."
"CMOVBE r16, r/m16","0F 46 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Move if below or equal (CF=1 or ZF=1)."
